Sat;Praznik;Mjesec;Temperatura;ProsjekU24h;Potrosnja
12;0;1;-0.8;299.875;482.5
13;0;1;-0.4;301.104166667;470.75
14;0;1;0.0;301.6875;457.75
15;0;1;0.1;302.697916667;445.25
16;0;1;-0.2;303.958333333;380.25
17;0;1;-0.6;305.364583333;343.75
18;0;1;-0.5;306.53125;293.25
19;0;1;-0.3;305.947916667;242.5
20;0;1;-0.6;304.885416667;225.75
21;0;1;-0.1;304.239583333;212.5
22;0;1;-0.1;303.916666667;190.5
23;0;1;-0.1;303.791666667;188.25
0;1;1;-0.6;303.875;188.0
1;1;1;-1.0;303.96875;183.5
2;1;1;-1.2;304.333333333;177.0
3;1;1;-2.0;304.510416667;177.5
4;1;1;-2.1;304.614583333;174.5
5;1;1;-2.5;304.708333333;171.25
6;1;1;-2.8;304.072916667;185.25
7;1;1;-3.1;301.927083333;188.75
8;1;1;-2.2;297.979166667;182.5
9;1;1;-1.7;290.510416667;184.25
10;1;1;-1.4;279.125;185.75
11;1;1;-1.2;267.291666667;188.75
12;1;1;-0.7;255.0;189.75
13;1;1;0.1;242.802083333;188.75
14;1;1;0.0;231.052083333;185.0
15;1;1;-0.1;219.6875;192.75
16;1;1;-0.1;209.166666667;191.5
