Sat;DanUTjednu;Mjesec;Temperatura;Potrosnja
3;1;1;-1.0;165.0
4;1;1;-1.2;165.0
5;1;1;-1.4;171.5
6;1;1;-1.4;230.75
7;1;1;-1.4;277.5
8;1;1;-1.4;349.25
9;1;1;-1.4;398.75
10;1;1;-1.1;423.25
11;1;1;-0.8;426.5
12;1;1;-0.7;444.25
13;1;1;-0.5;457.25
14;1;1;-0.4;437.25
15;1;1;-0.5;414.5
16;1;1;-0.9;354.5
17;1;1;-1.2;313.25
18;1;1;-1.2;295.5
19;1;1;-1.4;257.5
20;1;1;-1.7;242.75
21;1;1;-1.9;236.0
22;1;1;-1.9;215.25
23;1;1;-2.0;205.25
0;2;2;-2.0;197.75
1;2;2;-2.2;189.25
2;2;2;-2.2;186.75
3;2;2;-2.2;188.0
4;2;2;-2.3;183.5
5;2;2;-2.3;190.0
6;2;2;-2.4;259.75
7;2;2;-2.6;289.5
8;2;2;-2.1;336.0
9;2;2;-1.9;398.25
10;2;2;-1.9;397.5
11;2;2;-1.7;415.25
12;2;2;-1.4;436.0
13;2;2;-1.3;429.75
14;2;2;-1.3;421.0
15;2;2;-1.6;393.25
16;2;2;-2.2;345.75
17;2;2;-3.0;306.5
18;2;2;-3.3;277.5
19;2;2;-3.9;249.25
20;2;2;-4.0;230.25
21;2;2;-3.9;219.0
22;2;2;-3.7;198.75
23;2;2;-3.6;185.25
0;3;2;-3.7;181.5
1;3;2;-3.7;181.0
2;3;2;-3.6;180.0
3;3;2;-3.5;181.0
4;3;2;-3.5;178.75
5;3;2;-3.3;184.0
6;3;2;-3.6;243.25
7;3;2;-3.6;286.25
8;3;2;-3.2;334.5
9;3;2;-3.2;374.25
10;3;2;-2.8;404.75
11;3;2;-2.5;419.75
12;3;2;-2.2;433.0
13;3;2;-2.1;417.25
14;3;2;-2.2;413.75
15;3;2;-2.1;397.25
16;3;2;-2.5;333.5
17;3;2;-3.1;308.5
18;3;2;-4.2;282.5
19;3;2;-5.0;246.25
20;3;2;-5.0;225.0
21;3;2;-3.7;207.0
22;3;2;-2.3;191.5
23;3;2;-2.1;186.75
0;4;2;-2.0;184.5
1;4;2;-2.0;183.0
2;4;2;-2.7;182.5
3;4;2;-2.7;186.25
4;4;2;-2.5;186.75
5;4;2;-2.3;191.0
6;4;2;-2.3;250.25
7;4;2;-2.3;281.5
8;4;2;-1.6;328.75
9;4;2;-1.0;388.5
10;4;2;-0.4;391.0
